casa_artesania_id,casa_artesania_nombre,casa_artesania_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,casa_artesania_calle_numero,casa_artesania_colonia,casa_artesania_cp,casa_artesania_telfono1,casa_artesania_pagina_web,email,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
222,"Casa de las Artesanías Aguascalientes","Casa de las Artesanías Aguascalientes",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Manuel M. Ponce 134","Barrio de San Marcos","20070","","","casadelasartesaniasaguascalientesnex@gmail.com; luisa_muller69@hotmail.com",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=222","2018-06-21 02:36:42-05"
250,"Casa del Artesano","Asociación de Artesanos y Manualidades de Aguascalientes, A.C.",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Nieto 210","Centro","20000","","","enzoluraschi@yahoo.com",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=250","2018-06-20 04:27:02-05"
34,"Casa de Artesanías del Centro de Artes y Oficios","Instituto Cultural de Aguascalientes (ICA)",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Héroe de Nacozari 601 Nte. esq. Ventura Salazar","Barrio de la Estación","20254","","","artesyoficios1979@hotmail.com",-102.28177,21.88286,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=34","2020-03-12 08:16:43-06"
85,"Casa del Artesano Sudcaliforniano","Asociación de Artesanos Sudcalifornianos, A.C.",3,"Baja California Sur",3,"La Paz",1,"La Paz","Av. Álvaro Obregón s/n entre Nicolás Bravo y Rosales","Centro","23000","","","casartsbcs@gmail.com",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=85","2015-02-17 11:33:23-06"
29,"Casa de Artesanías Tukulna","Gobierno del Estado de Campeche",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Calle 10 núm. 333 entre 59 y 61","Centro","24000","","","joselem.villanueva@campeche.gob.mx",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=29","2015-02-17 11:44:48-06"
117,"Bazar Artesanal","Gobierno del Estado de Campeche",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Av. Pedro Saenz de Baranda s/n local L-201-223","Centro","24000","","","",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=117","2009-07-02 14:14:57-05"
216,"Casa del Artesano de Coahuila","Secretaría de Turismo de Coahuila",5,"Coahuila de Zaragoza",30,"Saltillo",1,"Saltillo","Av. Miguel Hidalgo s/n","Centro","25000","","","brenda.vega@coahuila.gob.mx",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=216","2015-02-11 14:46:25-06"
218,"Tienda de Artesanías Huentli","Secretaría de Fomento Económico",6,"Colima",2,"Colima",1,"Colima","Andador Constitución esq. Zaragoza ","Centro","28000","","","pgonzalezh@col.gob.mx",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=218","2015-02-12 12:00:59-06"
54,"Tienda de Artesanías del DIF","DIF",6,"Colima",2,"Colima",1,"Colima","And. Constitución s/n esq. Zaragoza","Centro","28000","","","",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=54","2021-08-06 09:08:49-05"
224,"Tienda Casa Chiapas Aeropuerto","Gobierno del Estado, Instituto Casa Chiapas",7,"Chiapas",27,"Chiapa de Corzo",1,"Chiapa de Corzo","Aeropuerto Internacional Ángel Albino Corzo local 3 PA","Ejido Francisco Sarabia","29000","","","aeropuertotuxt@gmail.com",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=224","2015-02-27 09:22:01-06"
35,"Tienda Casa Chiapas Palenque","Gobierno del Estado, Instituto Casa Chiapas",7,"Chiapas",65,"Palenque",1,"Palenque","Carr. Zona Arqueológica Km. 6.5","Col. Palenque","29960","","","tiendapalenque@gmail.com",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=35","2015-02-27 09:08:56-06"
47,"Tienda Casa Chiapas San Cristóbal de las Casas","Gobierno del Estado, Instituto Casa Chiapas",7,"Chiapas",78,"San Cristóbal de las Casas",1,"San Cristóbal de las Casas","Av. Hidalgo s/n esq. Niños Héroes Nte.","Centro","29200","","","tdasancristobal@gmail.com",-92.63805,16.73506,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=47","2015-02-27 08:58:57-06"
118,"Tienda Marca Chiapas<br>Sucursal Tapachula","Gobierno del Estado de Chiapas/Instituto Marca Chiapas",7,"Chiapas",89,"Tapachula",1,"Tapachula de Córdova y Ordóñez","Central Oriente 18","Centro","30700","","","aguilar.tapia@hotmail.com",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=118","2015-02-27 09:27:00-06"
108,"Tienda Casa de las Artesanías de Chiapas","Gobierno del Estado, Instituto Casa Chiapas",7,"Chiapas",101,"Tuxtla Gutiérrez",1,"Tuxtla Gutiérrez","Blvd. Belisario Domínguez 2035","Col. Xamaipak","29067","","","icasachiapas@gmail.com; tiendatuxtla@gmail.com",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=108","2017-03-24 12:23:34-06"
49,"Museo Casa de las Artesanías","Gobierno del Estado de Chihuahua",8,"Chihuahua",9,"Bocoyna",1,"Bocoyna","Av. Ferrocarril 172","Centro","33200","","","",-107.63491,27.75323,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=49","2020-02-04 11:02:38-06"
53,"Casa de las Artesanías del Estado de Chihuahua","Gobierno del Estado de Chihuahua/Secretaría de Economía",8,"Chihuahua",19,"Chihuahua",1,"Chihuahua","Av. Niños Héroes 1101 esq. Universidad","Centro","31000","","","casartesaniaschihuahua@hotmail.com",-106.07859,28.63844,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=53","2015-12-03 13:27:14-06"
277,"Casa Mejicú","",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Calz de Tlalpan 2191 "," Col. Ciudad Jardín","04370","",""," ventastlalpan@casamejicu.com",-99.14326,19.33864,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=277","2021-09-22 06:05:18-05"
249,"Casa de Artesanías Uriarte Talavera, Sucursal San Ángel","Arte en Talavera Casas y Uriarte, S.A. de C.V.",9,"Ciudad de México",10,"Álvaro Obregón",1,"Álvaro Obregón","Amargura 17","Col. San Ángel","01000","","","rosamaria.howe@uriartetalavera.com.mx",-99.19206,19.3455,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=249","2017-05-12 10:48:53-05"
30,"Tienda de Artesanías del Fonart, Sucursal Patriotismo","Fondo Nacional para el Fomento de las Artesanías",9,"Ciudad de México",14,"Benito Juárez",1,"Benito Juárez","Av. Patriotismo 691","Col. Mixcoac","03910","","","tda_patriotismo@fonart.gob.mx",-99.18491,19.37987,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=30","2017-10-17 14:27:38-05"
31,"Tienda de Artesanías del Fonart, Sucursal Palacio Nacional","Fondo Nacional para el Fomento de las Artesanías",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Plaza de la Constitución s/n Patio Principal","Centro Histórico","06067","","","tda_palacio@fonart.gob.mx",-99.13188,19.43246,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=31","2017-10-17 19:24:25-05"
139,"Tienda de Artesanías IAIP, Sucursal Distrito Federal","Gobierno del Estado de Puebla/Instituto de Artesanías e Industrias Populares del Estado de Puebla",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Av. Chapultepec 494","Col. Roma Norte","06700","","","heimdaldf@hotmail.com",-99.17232,19.4213,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=139","2017-11-05 15:08:13-06"
38,"Tienda de Artesanías del Fonart<br>Tienda Reforma","Fondo Nacional para el Fomento de las Artesanías",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Av. Paseo de la Reforma 116-PB ","Col. Juárez","06600","","","tda_reforma@fonart.gob.mx",-99.1565,19.43189,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=38","2017-10-17 14:22:19-05"
204,"La Canasta. Tienda de Artes de México"," Artes de México",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Córdoba 69","Col. Roma","06700","","","servicios.clientes@artesdemexico.com",-99.15918,19.42064,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=204","2017-10-18 12:48:06-05"
157,"Tienda del Museo de Arte Popular, Casa Matriz","Secretaría de Cultura/Gobierno de la CDMX/Asociación de Amigos del MAP",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Revillagigedo 11 esq. Independencia","Centro","06010","","","tiendadelmap@gmail.com",-99.14635,19.43373,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=157","2017-10-27 07:24:17-05"
36,"Tienda de Artesanías del Fonart, Sucursal Juárez","Fondo Nacional para el Fomento de las Artesanías",9,"Ciudad de México",15,"Cuauhtémoc",1,"Cuauhtémoc","Av. Juárez 89","Centro","06040","","","tda_juarez @fonart.gob.mx",-99.14768,19.43543,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=36","2017-10-18 12:12:52-05"
