galeria_id,galeria_nombre,galeria_fecha_fundacion,galeria_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,galeria_calle_numero,galeria_colonia,galeria_cp,galeria_telfono1,galeria_pagina_web,email,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
1795,"Galería de la Universidad de las Artes","2002-01-01","Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Av. Manuel Gómez Morín s/n","Col. Ferronales","20180","","","licenciaturaica@yahoo.com",-102.28073,21.88916,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1795","2020-03-13 04:53:00-06"
745,"Galería Benjamín Manzo ","2007-03-15","Casa de la Cultura Víctor Sandoval/Instituto Cultural de Aguascalientes ",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Venustiano Carranza  101, planta alta","Centro ","20000","","","",-102.29873,21.88089,"http://sic.gob.mx/ficha.php?table=galeria&table_id=745","2021-09-21 05:39:55-05"
1658,"Ruido Proyectos, Galería de Arte Contemporáneo","2016-06-11","",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Calle Ezequiel A. Chávez 302 A","Centro","20000","","","jfelias@ruidoproyectos.com",-102.29074,21.88585,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1658","2020-03-13 05:08:25-06"
337,"Galería Pons","1995-11-12","Instituto Cultural de Aguascalientes (ICA)/Dirección de Educación Artística Básica",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Alameda 206 esq. Héroe de Nacozari","Barrio La Purísima","20259","","","c.culturallosarquitos@gmail.com",-102.28177,21.88286,"http://sic.gob.mx/ficha.php?table=galeria&table_id=337","2020-03-13 05:04:11-06"
340,"Galería de Artes Gráficas El Obraje","2000-09-13","Instituto Cultural de Aguascalientes",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Juan de Montoro 222","Centro","20000","","","museosygalerias@yahoo.com.mx",-102.29334,21.88126,"http://sic.gob.mx/ficha.php?table=galeria&table_id=340","2020-04-27 09:49:47-05"
657,"Galería Ex Escuela de Cristo","2004-09-07","Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Andador Benito Juárez 107","Centro","20000","","","museosygalerias@yahoo.com.mx",-102.29545,21.88166,"http://sic.gob.mx/ficha.php?table=galeria&table_id=657","2021-06-16 03:59:32-05"
1790,"Galería Urbana","1000-01-01","Universidad Autónoma de Aguascalientes",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Av. Universidad esq. Guadalupe González","Cd. Universitaria","20131","","","",-102.31137,21.90955,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1790","2020-03-13 05:07:45-06"
1449,"Galería La Señal en el Muro","2004-01-01","CIELA Fraguas ",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Ignacio Allende 238  ","Centro","20000","","","cielafraguas.ica@gmail.com",-102.29923,21.88134,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1449","2021-06-16 04:01:28-05"
349,"Galería La Huerta","1994-11-12","Instituto Cultural de Aguascalientes (ICA)/Dirección de Educación Artística Básica",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Alameda 206 esq. Héroe de Nacozari","Barrio La Purísima","20000","","","c.culturallosarquitos@gmail.com",-102.28177,21.88286,"http://sic.gob.mx/ficha.php?table=galeria&table_id=349","2020-03-13 05:01:50-06"
1483,"Galería Artica","2013-04-22","Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión/Centro de Artes Visuales",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Venustiano Carranza 101","Centro","20000","","","centrodeartesvisuales@yahoo.com.mx",-102.29876,21.88048,"http://sic.gob.mx/ficha.php?table=galeria&table_id=1483","2021-09-21 05:39:03-05"
356,"Galería Francisco Díaz de León","1992-12-01","Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Rivero y Gutiérrez 110","Centro","20000","","","casajesusteran@gmail.com",-102.29677,21.88339,"http://sic.gob.mx/ficha.php?table=galeria&table_id=356","2020-03-13 05:01:21-06"
342,"Galería de la Ciudad","1985-03-03","Casa de la Cultura Víctor Sandoval/Instituto Cultural de Aguascalientes",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Venustiano Carranza 101","Centro","20000","","","museosygalerias@yahoo.com.mx",-102.29804,21.88066,"http://sic.gob.mx/ficha.php?table=galeria&table_id=342","2021-05-24 06:53:24-05"
